itemId,name,description,price,category
COF-001,Espresso,Strong black coffee,2.50,Beverage
COF-002,Latte,Espresso with steamed milk,3.50,Beverage
COF-003,Cappuccino,Espresso with milk foam,3.80,Beverage
COF-004,Flat White,Double espresso with microfoam,4.00,Beverage
COF-005,Mocha,Espresso with chocolate and milk,4.20,Beverage
TEA-001,Green Tea,Japanese matcha green tea,2.80,Beverage
TEA-002,Hot Chocolate,Rich drinking chocolate,3.50,Beverage
JUI-001,Orange Juice,Freshly squeezed orange juice,3.20,Beverage
JUI-002,Sparkling Water,500ml sparkling mineral water,1.80,Beverage
FOO-001,Butter Croissant,Freshly baked French croissant,3.20,Food
FOO-002,Chocolate Muffin,Warm double chocolate chip muffin,2.80,Food
FOO-003,Blueberry Muffin,Homemade blueberry muffin,2.80,Food
FOO-004,Cheese Toastie,Toasted cheese sandwich,4.50,Food
FOO-005,BLT Sandwich,Bacon lettuce and tomato sandwich,5.50,Food
FOO-006,Tuna Melt,Toasted tuna and cheese panini,6.00,Food
FOO-007,Avocado Toast,Sourdough with smashed avocado,6.50,Food
FOO-008,Granola Bowl,Greek yoghurt with granola and berries,5.20,Food
FOO-009,Flapjack,Homemade oat and syrup flapjack,2.20,Food
FOO-010,Carrot Cake,Spiced carrot cake with frosting,3.80,Food
OTH-001,Reusable Cup,Keep-cup 12oz bamboo reusable cup,9.99,Other
OTH-002,Coffee Beans,House blend ground coffee beans 250g,7.50,Other
OTH-003,Loyalty Card,Stamp card - 10th coffee free,0.01,Other
